Component Name,Occurrence Name,Full Path,Description,Part Number,Material,Mass [kg],Volume [cm³],Density [kg/cm³],Surface Area [cm²],CoM X [cm],CoM Y [cm],CoM Z [cm],I1 [kg·cm²],I2 [kg·cm²],I3 [kg·cm²],Size X [cm],Size Y [cm],Size Z [cm],Young's Modulus [Pa],Poisson's Ratio,Shear Modulus [Pa],Thermal Conductivity [W/m·K],Thermal Expansion [1/K]
2023_05_05_09_31_24_0780,2023_05_05_09_31_24_0780:1,Chariot Y:1+Chariot Z:1+WJ200UM_01_10_1 v1:1+2023_05_05_09_31_24_0780:1,,2023_05_05_09_31_24_0780,Steel,0.059458,7.574325,0.00785,43.66477,14.683485,223.941517,2.33154,1,0.080089,0.053186,1.652125,2.602141,2.90228,N/A,N/A,N/A,N/A,N/A
WJ200UM_01_10_1 v1,WJ200UM_01_10_1 v1:1,Chariot Y:1+Chariot Z:1+WJ200UM_01_10_1 v1:1,,WJ200UM_01_10_1,Steel,0.059458,7.574325,0.00785,43.66477,14.683485,223.941517,2.33154,1,0.080089,0.053186,1.652125,2.602141,2.90228,N/A,N/A,N/A,N/A,N/A
2023_05_05_09_31_24_0780,2023_05_05_09_31_24_0780:1,Chariot Y:1+Chariot Z:1+WJ200UM_01_10_1 v1:2+2023_05_05_09_31_24_0780:1,,2023_05_05_09_31_24_0780,Steel,0.059458,7.574325,0.00785,43.66477,14.683485,218.912063,2.331535,1,0.080089,0.053186,1.652125,2.602141,2.90228,N/A,N/A,N/A,N/A,N/A
WJ200UM_01_10_1 v1,WJ200UM_01_10_1 v1:2,Chariot Y:1+Chariot Z:1+WJ200UM_01_10_1 v1:2,,WJ200UM_01_10_1,Steel,0.059458,7.574325,0.00785,43.66477,14.683485,218.912063,2.331535,1,0.080089,0.053186,1.652125,2.602141,2.90228,N/A,N/A,N/A,N/A,N/A
2023_05_05_09_31_24_0780,2023_05_05_09_31_24_0780:1,Chariot Y:1+Chariot Z:1+WJ200UM_01_10_1 v1:3+2023_05_05_09_31_24_0780:1,,2023_05_05_09_31_24_0780,Steel,0.059458,7.574325,0.00785,43.66477,14.683485,223.941517,-1.668435,1,0.080089,0.053186,1.652125,2.602141,2.90228,N/A,N/A,N/A,N/A,N/A
WJ200UM_01_10_1 v1,WJ200UM_01_10_1 v1:3,Chariot Y:1+Chariot Z:1+WJ200UM_01_10_1 v1:3,,WJ200UM_01_10_1,Steel,0.059458,7.574325,0.00785,43.66477,14.683485,223.941517,-1.668435,1,0.080089,0.053186,1.652125,2.602141,2.90228,N/A,N/A,N/A,N/A,N/A
2023_05_05_09_31_24_0780,2023_05_05_09_31_24_0780:1,Chariot Y:1+Chariot Z:1+WJ200UM_01_10_1 v1:4+2023_05_05_09_31_24_0780:1,,2023_05_05_09_31_24_0780,Steel,0.059458,7.574325,0.00785,43.66477,14.683485,218.912063,-1.66844,1,0.080089,0.053186,1.652125,2.602141,2.90228,N/A,N/A,N/A,N/A,N/A
WJ200UM_01_10_1 v1,WJ200UM_01_10_1 v1:4,Chariot Y:1+Chariot Z:1+WJ200UM_01_10_1 v1:4,,WJ200UM_01_10_1,Steel,0.059458,7.574325,0.00785,43.66477,14.683485,218.912063,-1.66844,1,0.080089,0.053186,1.652125,2.602141,2.90228,N/A,N/A,N/A,N/A,N/A
Chariot Z,Chariot Z:1,Chariot Y:1+Chariot Z:1,,Chariot Z,Steel,0.721031,91.851069,0.00785,402.054974,15.401281,221.42679,0.33155,1,11.309095,3.652616,25.58787,52.968959,12.80414,N/A,N/A,N/A,N/A,N/A
Sensor Holder Z,Sensor Holder Z:1,Chariot Y:1+Sensor Holder Z:1,,Sensor Holder Z,Steel,0.10726,13.66372,0.00785,52.946202,13.46766,225.191641,2.331538,1,0.181368,0.118841,2.832,2.952,2.902,N/A,N/A,N/A,N/A,N/A
CoolerHolder,CoolerHolder:1,Chariot Y:1+CoolerHolder:1,,CoolerHolder,Steel,0.109859,13.994729,0.00785,154.642564,7.670399,229.727325,-21.447626,1,0.803889,2.606056,9.203,5.604,7.516888,N/A,N/A,N/A,N/A,N/A
Chariot Y,Chariot Y:1,Chariot Y:1,,Chariot Y,Steel,8.31493,1059.226754,0.00785,4647.099837,11.569081,221.595531,-2.727429,1,1199.472933,934.357657,47.604,57.97196,51.764903,N/A,N/A,N/A,N/A,N/A
GantryPlate,GantryPlate:1,GantryPlate:1,,GantryPlate,Steel,2.231807,284.3066,0.00785,1030.617321,3.96513,-0.035991,-2.847947,1,215.51924,168.201029,0.602,16.052,30.304871,N/A,N/A,N/A,N/A,N/A
91294A283_Black-Oxide Alloy Steel Hex Drive Flat Head Screw,91294A283_Black-Oxide Alloy Steel Hex Drive Flat Head Screw:1,91294A283_Black-Oxide Alloy Steel Hex Drive Flat Head Screw:1,,91294A283_Black-Oxide Alloy Steel Hex Drive Flat Head Screw,Steel,0.0081,1.031803,0.00785,11.291092,10.832306,230.526539,-19.247426,1,0.001251,0.003099,1.811065,1.602,1.602,N/A,N/A,N/A,N/A,N/A
91294A236_Black-Oxide Alloy Steel Hex Drive Flat Head Screw,91294A236_Black-Oxide Alloy Steel Hex Drive Flat Head Screw:1,91294A236_Black-Oxide Alloy Steel Hex Drive Flat Head Screw:1,,91294A236_Black-Oxide Alloy Steel Hex Drive Flat Head Screw,Steel,0.003087,0.393226,0.00785,5.905321,27.178892,159.999759,0.481155,1,0.000284,0.000552,1.215452,1.202,1.202,N/A,N/A,N/A,N/A,N/A
Tunnel Support Guide,Tunnel Support Guide:1,Tunnel Support Guide:1,,Tunnel Support Guide,Steel,5.514551,702.490545,0.00785,723.505366,1.905884,5.895064,-0.188432,1,137.30769,79.333241,22.004,16.454,9.45402,N/A,N/A,N/A,N/A,N/A
2025_01_17_11_59_11_0144,2025_01_17_11_59_11_0144:1,2025-01-20-Cable Tunnel v1:1+2025_01_17_11_59_11_0144:1,PART-2025_01_17_11_59_11_0144-DESC,2025_01_17_11_59_11_0144,Steel,1.88102,239.620419,0.00785,1215.553544,-2.267428,8.099764,12.877985,1,211.150129,200.96615,12.7591,9.904,25.604076,N/A,N/A,N/A,N/A,N/A
2025-01-20-Cable Tunnel v1,2025-01-20-Cable Tunnel v1:1,2025-01-20-Cable Tunnel v1:1,STEP AP214,2025_01_17_11_59_11_0097,Steel,1.88102,239.620419,0.00785,1215.553544,-2.267428,8.099764,12.877985,1,211.150129,200.96615,12.7591,9.904,25.604076,N/A,N/A,N/A,N/A,N/A
Component44,Component44:1,Tunnel Support Guide 2:1+Component44:1,,Component44,Steel,1.219289,155.323467,0.00785,284.688881,5.59013,221.42679,-19.562568,1,86.185112,3.566319,5.054,22.003,3.05402,N/A,N/A,N/A,N/A,N/A
Tunnel Support Guide 2,Tunnel Support Guide 2:1,Tunnel Support Guide 2:1,,Tunnel Support Guide 2,Steel,1.75625,223.726056,0.00785,656.311267,4.756981,221.42679,-18.762755,1,112.053068,12.306534,5.454,22.005,9.45402,N/A,N/A,N/A,N/A,N/A
Component37,Component37:1,Component37:1,,Component37,Steel,0.264771,33.728805,0.00785,189.550361,3.46513,6.323288,3.277985,1,4.969018,0.925786,0.402,13.527,6.402,N/A,N/A,N/A,N/A,N/A
2025_01_21_12_06_45_0599,2025_01_21_12_06_45_0599:1,E4_48L_075_1 v2:1+2025_01_21_12_06_45_0599:1,PART-2025_01_21_12_06_45_0599-DESC,2025_01_21_12_06_45_0599,Steel,0.459938,58.590816,0.00785,353.937799,-4.978121,214.72679,-14.872006,1,5.65498,4.462129,8.652,13.202,6.402,N/A,N/A,N/A,N/A,N/A
2025_01_21_12_06_45_0584,2025_01_21_12_06_45_0584:1,E4_48L_075_1 v2:1+2025_01_21_12_06_45_0584:1,PART--DESC,2025_01_21_12_06_45_0584,Steel,0.323347,41.190763,0.00785,191.196643,1.909704,214.72679,-14.872006,1,4.553621,1.093034,1.377,13.202,6.402,N/A,N/A,N/A,N/A,N/A
2025_01_21_12_06_45_0568,2025_01_21_12_06_45_0568:1,E4_48L_075_1 v2:1+2025_01_21_12_06_45_0506:1+2025_01_21_12_06_45_0568:1,PART-2025_01_21_12_06_45_0568-DESC,2025_01_21_12_06_45_0568,Steel,0.000101,0.012858,0.00785,1.247059,-6.90737,221.498426,-14.674249,1,2.4e-05,4e-06,0.049,1.6765,0.859,N/A,N/A,N/A,N/A,N/A
2025_01_21_12_06_45_0553,2025_01_21_12_06_45_0553:1,E4_48L_075_1 v2:1+2025_01_21_12_06_45_0506:1+2025_01_21_12_06_45_0553:1,PART--DESC,2025_01_21_12_06_45_0553,Steel,0.45124,57.482824,0.00785,347.233286,-5.244426,221.42679,-14.872006,1,5.21458,4.748723,8.752,13.202,6.402,N/A,N/A,N/A,N/A,N/A
2025_01_21_12_06_45_0506,2025_01_21_12_06_45_0506:1,E4_48L_075_1 v2:1+2025_01_21_12_06_45_0506:1,PART--DESC,2025_01_21_12_06_45_0506,Steel,0.451341,57.495682,0.00785,348.480345,-5.244798,221.426806,-14.871961,1,5.214609,4.749011,8.754,13.204,6.404,N/A,N/A,N/A,N/A,N/A
2025_01_21_12_06_45_0490,2025_01_21_12_06_45_0490:1,E4_48L_075_1 v2:1+2025_01_21_12_06_45_0428:1+2025_01_21_12_06_45_0490:1,PART-2025_01_21_12_06_45_0490-DESC,2025_01_21_12_06_45_0490,Steel,0.000101,0.012858,0.00785,1.247059,2.63763,221.355154,-14.674249,1,2.4e-05,4e-06,0.049,1.6765,0.859,N/A,N/A,N/A,N/A,N/A
2025_01_21_12_06_45_0475,2025_01_21_12_06_45_0475:1,E4_48L_075_1 v2:1+2025_01_21_12_06_45_0428:1+2025_01_21_12_06_45_0475:1,PART--DESC,2025_01_21_12_06_45_0475,Steel,0.31465,40.082772,0.00785,184.49213,2.32482,221.42679,-14.872006,1,4.113221,1.056136,1.477,13.202,6.402,N/A,N/A,N/A,N/A,N/A
2025_01_21_12_06_45_0428,2025_01_21_12_06_45_0428:1,E4_48L_075_1 v2:1+2025_01_21_12_06_45_0428:1,PART--DESC,2025_01_21_12_06_45_0428,Steel,0.314751,40.095629,0.00785,185.73919,2.324921,221.426767,-14.871942,1,4.11325,1.056154,1.479,13.204,6.404,N/A,N/A,N/A,N/A,N/A
E4_48L_075_1 v2,E4_48L_075_1 v2:1,E4_48L_075_1 v2:1,STEP AP214,2025_01_21_12_06_45_0381,Steel,1.549377,197.372891,0.00785,1079.353977,-2.134762,218.039615,-14.87198,1,36.922204,30.993529,9.606,19.905,6.406,N/A,N/A,N/A,N/A,N/A
2025_01_17_11_59_11_0144,2025_01_17_11_59_11_0144:1,2025-01-20-Cable Tunnel v1:1+2025_01_17_11_59_11_0144:1,PART-2025_01_17_11_59_11_0144-DESC,2025_01_17_11_59_11_0144,Steel,1.88102,239.620335,0.00785,1215.551904,7.269169,159.369644,-0.44704,1,6972.891991,37.814358,29.010893,131.227034,25.603975,N/A,N/A,N/A,N/A,N/A
2025-01-20-Cable Tunnel v1,2025-01-20-Cable Tunnel v1:1,2025-01-20-Cable Tunnel v1:1,STEP AP214,2025_01_17_11_59_11_0097,Steel,1.88102,239.620335,0.00785,1215.551904,7.269169,159.369644,-0.44704,1,6972.891991,37.814358,29.010893,131.227034,25.603975,N/A,N/A,N/A,N/A,N/A
Plate Igus Canal Down,Plate Igus Canal Down:1,Plate Igus Canal Down:1,,Plate Igus Canal Down,Steel,0.244525,31.14967,0.00785,177.496445,0.261648,221.42906,12.552965,1,0.580006,4.545415,15.002,5.298621,0.402,N/A,N/A,N/A,N/A,N/A
Plate Igus Canal Y,Plate Igus Canal Y:1,Plate Igus Canal Y:1,,Plate Igus Canal Y,Steel,0.159239,20.285254,0.00785,117.693654,-28.28487,221.428662,12.552965,1,0.383938,1.295111,9.902,5.298621,0.402,N/A,N/A,N/A,N/A,N/A
Sensor Mount,Sensor Mount:1,Sensor Mount:1,,Sensor Mount,Steel,0.201619,25.683942,0.00785,80.480362,6.334945,212.814346,13.022148,1,0.52675,0.29326,3.502,4.341509,2.752,N/A,N/A,N/A,N/A,N/A
